lat,lon,date,city,country
,,05/16/2014 16:13,Sintra,Portugal
,,05/16/2014 16:28,Sintra,Portugal
,,05/16/2014 16:43,Sintra,Portugal
,,05/16/2014 16:58,Sintra,Portugal
,,05/16/2014 17:13,Lisbon,Portugal
,,05/16/2014 17:28,Damaia,Portugal
,,05/16/2014 17:43,Lisbon,Portugal
,,05/16/2014 17:58,Lisbon,Portugal
,,05/16/2014 18:13,Lisbon,Portugal
,,05/16/2014 18:55,Lisbon,Portugal
,,05/16/2014 19:09,Lisbon,Portugal
,,05/16/2014 19:24,Lisbon,Portugal
,,05/16/2014 19:54,Lisbon,Portugal
,,05/16/2014 20:09,Lisbon,Portugal
,,05/16/2014 20:24,Lisbon,Portugal
,,05/16/2014 20:39,Lisbon,Portugal
,,05/16/2014 21:09,Lisbon,Portugal
,,05/16/2014 22:09,Lisbon,Portugal
,,05/16/2014 22:39,Lisbon,Portugal
,,05/16/2014 23:09,Lisbon,Portugal
,,05/16/2014 23:24,Lisbon,Portugal
,,05/16/2014 23:39,Lisbon,Portugal
,,05/17/2014 00:09,Lisbon,Portugal
,,05/17/2014 00:39,Lisbon,Portugal
,,05/17/2014 01:09,Lisbon,Portugal
,,05/17/2014 01:39,Lisbon,Portugal
,,05/17/2014 01:54,Lisbon,Portugal
,,05/17/2014 02:09,Lisbon,Portugal
,,05/17/2014 02:24,Lisbon,Portugal
,,05/17/2014 02:54,Lisbon,Portugal
,,05/17/2014 03:24,Lisbon,Portugal
,,05/17/2014 03:54,Lisbon,Portugal
,,05/17/2014 04:24,Lisbon,Portugal
,,05/17/2014 04:54,Lisbon,Portugal
,,05/17/2014 05:24,Lisbon,Portugal
,,05/17/2014 05:54,Lisbon,Portugal
,,05/17/2014 06:24,Lisbon,Portugal
,,05/17/2014 06:54,Lisbon,Portugal
,,05/17/2014 07:24,Lisbon,Portugal
,,05/17/2014 07:54,Lisbon,Portugal
,,05/17/2014 08:09,Lisbon,Portugal
,,05/17/2014 08:24,Lisbon,Portugal
,,05/17/2014 08:54,Lisbon,Portugal
,,05/17/2014 09:09,Lisbon,Portugal
,,05/17/2014 09:24,Lisbon,Portugal
,,05/17/2014 09:39,Lisbon,Portugal
,,05/17/2014 09:54,Lisbon,Portugal
,,05/17/2014 10:09,Lisbon,Portugal
,,05/17/2014 11:12,Azambuja,Portugal
,,05/17/2014 11:27,Santarém,Portugal
,,05/17/2014 11:42,Zibreira,Portugal
,,05/17/2014 11:58,Ourém Municipality,Portugal
,,05/17/2014 12:12,São Mamede,Portugal
,,05/17/2014 12:28,Leiria District,Portugal
,,05/17/2014 12:43,Leiria District,Portugal
,,05/17/2014 12:58,Coimbra Municipality,Portugal
,,05/17/2014 13:28,Aveiro District,Portugal
,,05/17/2014 13:42,Aveiro District,Portugal
,,05/17/2014 13:58,Vila Nova de Gaia,Portugal
,,05/17/2014 15:13,Porto,Portugal
,,05/17/2014 15:28,Porto,Portugal
,,05/17/2014 15:42,Porto,Portugal
,,05/17/2014 15:58,Porto,Portugal
,,05/17/2014 16:12,Porto,Portugal
,,05/17/2014 16:28,Vila Nova de Gaia Municipality,Portugal
,,05/17/2014 16:42,Vila Nova de Gaia Municipality,Portugal
,,05/17/2014 17:27,Vila Nova de Gaia Municipality,Portugal
,,05/17/2014 17:42,Porto,Portugal
,,05/17/2014 18:43,Vila Nova de Gaia Municipality,Portugal
,,05/17/2014 18:58,Vila Nova de Gaia Municipality,Portugal
,,05/17/2014 19:12,Porto,Portugal
,,05/17/2014 19:27,Porto,Portugal
,,05/17/2014 19:43,Porto,Portugal
,,05/17/2014 19:58,Porto,Portugal
,,05/17/2014 20:13,Porto,Portugal
,,05/17/2014 20:28,Porto,Portugal
,,05/17/2014 20:43,Porto,Portugal
,,05/17/2014 20:57,Porto,Portugal
,,05/17/2014 21:12,Porto,Portugal
,,05/17/2014 21:42,Porto,Portugal
,,05/17/2014 22:12,Porto,Portugal
,,05/17/2014 22:42,Porto,Portugal
,,05/17/2014 22:58,Porto,Portugal
,,05/17/2014 23:12,Porto,Portugal
,,05/17/2014 23:43,Porto,Portugal
,,05/17/2014 23:58,Porto,Portugal
,,05/18/2014 00:28,Porto,Portugal
,,05/18/2014 00:58,Porto,Portugal
,,05/18/2014 01:28,Porto,Portugal
,,05/18/2014 01:58,Porto,Portugal
,,05/18/2014 02:12,Porto,Portugal
,,05/18/2014 02:27,Porto,Portugal
,,05/18/2014 03:28,Porto,Portugal
,,05/18/2014 03:58,Porto,Portugal
,,05/18/2014 05:12,Porto,Portugal
,,05/18/2014 05:42,Porto,Portugal
,,05/18/2014 06:13,Porto,Portugal
,,05/18/2014 06:43,Porto,Portugal
,,05/18/2014 06:58,Porto,Portugal
,,05/18/2014 07:12,Porto,Portugal
,,05/18/2014 07:27,Porto,Portugal
,,05/18/2014 07:42,Porto,Portugal
,,05/18/2014 07:57,Porto,Portugal
,,05/18/2014 08:13,Porto,Portugal
,,05/18/2014 08:43,Porto,Portugal
,,05/18/2014 09:12,Porto,Portugal
,,05/18/2014 09:42,Porto,Portugal
,,05/18/2014 09:57,Porto,Portugal
,,05/18/2014 10:27,Porto,Portugal
,,05/18/2014 11:12,Porto,Portugal
,,05/18/2014 11:42,Porto,Portugal
,,05/18/2014 12:12,Porto District,Portugal
,,05/18/2014 12:58,Porto,Portugal
,,05/18/2014 13:27,Vila Nova de Gaia Municipality,Portugal
,,05/18/2014 13:57,Porto,Portugal
,,05/18/2014 14:28,Vila Nova de Gaia Municipality,Portugal
,,05/18/2014 14:57,Vila Nova de Gaia Municipality,Portugal
,,05/18/2014 15:13,Porto,Portugal
,,05/18/2014 15:42,Porto,Portugal
,,05/18/2014 15:57,Porto,Portugal
,,05/18/2014 16:12,Vila Nova de Gaia Municipality,Portugal
,,05/18/2014 16:58,Porto,Portugal
,,05/18/2014 17:12,Porto,Portugal
,,05/18/2014 17:42,Porto,Portugal
,,05/18/2014 17:55,Porto,Portugal
,,05/18/2014 18:10,Porto,Portugal
,,05/18/2014 18:40,Porto,Portugal
,,05/18/2014 18:55,Maia Municipality,Portugal
,,05/18/2014 19:25,Matosinhos,Portugal
,,05/18/2014 19:55,Maia,Portugal
,,05/18/2014 20:10,Matosinhos,Portugal
,,05/18/2014 22:35,El Prat de Llobregat,Spain
,,05/18/2014 22:49,Viladecans,Spain
,,05/18/2014 23:04,Viladecans,Spain
,,05/18/2014 23:20,Viladecans,Spain
,,05/18/2014 23:34,El Prat de Llobregat,Spain
,,05/19/2014 00:04,Barcelona,Spain
,,05/19/2014 01:34,Barcelona,Spain
,,05/19/2014 02:03,Barcelona,Spain
,,05/19/2014 02:48,Barcelona,Spain
,,05/19/2014 05:48,Barcelona,Spain
,,05/19/2014 06:03,Barcelona,Spain
,,05/19/2014 08:33,Barcelona,Spain
,,05/19/2014 09:48,Barcelona,Spain
,,05/19/2014 10:33,Barcelona,Spain
,,05/19/2014 10:48,Barcelona,Spain
,,05/19/2014 11:03,Barcelona,Spain
,,05/19/2014 11:18,Barcelona,Spain
,,05/19/2014 11:48,Barcelona,Spain
,,05/19/2014 12:48,Barcelona,Spain
,,05/19/2014 14:33,Barcelona,Spain
,,05/19/2014 14:48,Barcelona,Spain
,,05/19/2014 16:18,Barcelona,Spain
,,05/19/2014 17:03,Barcelona,Spain
,,05/19/2014 17:18,Barcelona,Spain
,,05/19/2014 17:48,Barcelona,Spain
,,05/19/2014 18:03,Barcelona,Spain
,,05/19/2014 18:33,Barcelona,Spain
,,05/19/2014 18:48,Barcelona,Spain
,,05/19/2014 19:03,Barcelona,Spain
,,05/19/2014 19:18,Barcelona,Spain
,,05/19/2014 19:33,Barcelona,Spain
,,05/19/2014 19:48,Barcelona,Spain
,,05/19/2014 21:18,Barcelona,Spain
,,05/19/2014 21:33,Barcelona,Spain
,,05/19/2014 21:48,Barcelona,Spain
,,05/19/2014 22:03,Barcelona,Spain
,,05/19/2014 22:18,Barcelona,Spain
,,05/20/2014 03:18,Barcelona,Spain
,,05/20/2014 05:48,Barcelona,Spain
,,05/20/2014 06:03,Barcelona,Spain
,,05/20/2014 07:48,Barcelona,Spain
,,05/20/2014 08:03,Barcelona,Spain
,,05/20/2014 08:18,Barcelona,Spain
,,05/20/2014 08:48,Barcelona,Spain
,,05/20/2014 09:18,Barcelona,Spain
,,05/20/2014 09:33,Barcelona,Spain
,,05/20/2014 10:03,Barcelona,Spain
,,05/20/2014 10:33,Barcelona,Spain
,,05/20/2014 10:48,Barcelona,Spain
,,05/20/2014 11:03,Barcelona,Spain
,,05/20/2014 11:18,Barcelona,Spain
,,05/20/2014 11:33,Barcelona,Spain
,,05/20/2014 12:03,Barcelona,Spain
,,05/20/2014 12:18,Barcelona,Spain
,,05/20/2014 14:33,Barcelona,Spain
,,05/20/2014 14:48,Barcelona,Spain
,,05/20/2014 15:03,Barcelona,Spain
,,05/20/2014 15:44,Barcelona,Spain
,,05/20/2014 15:57,Barcelona,Spain
,,05/20/2014 16:14,Barcelona,Spain
,,05/20/2014 16:28,Barcelona,Spain
,,05/20/2014 16:32,Barcelona,Spain
,,05/20/2014 16:46,Barcelona,Spain
,,05/20/2014 17:47,Barcelona,Spain
,,05/20/2014 18:01,Barcelona,Spain
,,05/20/2014 18:16,Barcelona,Spain
,,05/20/2014 18:32,Barcelona,Spain
,,05/20/2014 18:46,Barcelona,Spain
,,05/20/2014 19:02,Barcelona,Spain
,,05/20/2014 20:46,Barcelona,Spain
,,05/20/2014 21:02,Barcelona,Spain
,,05/20/2014 22:01,Barcelona,Spain
,,05/20/2014 23:32,Barcelona,Spain
,,05/21/2014 03:02,Barcelona,Spain
,,05/21/2014 11:02,Barcelona,Spain
,,05/21/2014 11:32,Barcelona,Spain
,,05/21/2014 11:47,Barcelona,Spain
,,05/21/2014 12:01,Barcelona,Spain
,,05/21/2014 13:46,Barcelona,Spain
,,05/21/2014 14:17,Barcelona,Spain
,,05/21/2014 14:31,Barcelona,Spain
,,05/21/2014 14:46,Barcelona,Spain
,,05/21/2014 15:01,Barcelona,Spain
,,05/21/2014 15:41,Barcelona,Spain
,,05/21/2014 15:55,Barcelona,Spain
,,05/21/2014 16:10,Barcelona,Spain
,,05/21/2014 16:40,Barcelona,Spain
,,05/21/2014 16:55,Barcelona,Spain
,,05/21/2014 17:10,Barcelona,Spain
,,05/21/2014 17:25,Barcelona,Spain
,,05/21/2014 17:53,Barcelona,Spain
,,05/21/2014 18:07,Barcelona,Spain
,,05/21/2014 18:52,Barcelona,Spain
,,05/21/2014 19:07,Barcelona,Spain
,,05/21/2014 19:22,Barcelona,Spain
,,05/21/2014 22:22,Barcelona,Spain
,,05/21/2014 23:07,Barcelona,Spain
,,05/21/2014 23:22,Barcelona,Spain
,,05/22/2014 03:52,Barcelona,Spain
,,05/22/2014 07:37,Barcelona,Spain
,,05/22/2014 07:52,Barcelona,Spain
,,05/22/2014 08:07,Barcelona,Spain
,,05/22/2014 08:37,Barcelona,Spain
,,05/22/2014 11:22,Barcelona,Spain
,,05/22/2014 11:52,Barcelona,Spain
,,05/22/2014 12:07,Barcelona,Spain
,,05/22/2014 12:22,Barcelona,Spain
,,05/22/2014 12:37,Barcelona,Spain
,,05/22/2014 12:52,Barcelona,Spain
,,05/22/2014 13:07,Barcelona,Spain
,,05/22/2014 13:22,Barcelona,Spain
,,05/22/2014 13:37,Barcelona,Spain
,,05/22/2014 13:52,Barcelona,Spain
,,05/22/2014 15:07,Barcelona,Spain
,,05/22/2014 15:37,Barcelona,Spain
,,05/22/2014 15:52,Barcelona,Spain
,,05/22/2014 16:07,Barcelona,Spain
,,05/22/2014 16:52,Barcelona,Spain
,,05/22/2014 17:07,Barcelona,Spain
,,05/22/2014 18:37,Barcelona,Spain
,,05/23/2014 03:07,Barcelona,Spain
,,05/23/2014 03:37,Barcelona,Spain
,,05/23/2014 05:07,Barcelona,Spain
,,05/23/2014 06:22,Barcelona,Spain
,,05/23/2014 06:37,Barcelona,Spain
,,05/23/2014 08:22,Barcelona,Spain
,,05/23/2014 08:37,Barcelona,Spain
,,05/23/2014 08:52,Barcelona,Spain
,,05/23/2014 10:44,Barcelona,Spain
,,05/23/2014 10:58,Barcelona,Spain
,,05/23/2014 11:13,Barcelona,Spain
,,05/23/2014 11:28,Barcelona,Spain
,,05/23/2014 11:43,Barcelona,Spain
,,05/23/2014 12:14,Barcelona,Spain
,,05/23/2014 12:28,Barcelona,Spain
,,05/23/2014 12:43,Barcelona,Spain
,,05/23/2014 12:58,Barcelona,Spain
,,05/23/2014 14:43,Barcelona,Spain
,,05/23/2014 15:13,Barcelona,Spain
,,05/23/2014 15:43,Barcelona,Spain
,,05/23/2014 15:58,Barcelona,Spain
,,05/23/2014 16:13,Barcelona,Spain
,,05/23/2014 16:28,Barcelona,Spain
,,05/23/2014 16:43,Barcelona,Spain
,,05/23/2014 16:58,Barcelona,Spain
,,05/23/2014 17:13,Barcelona,Spain
,,05/23/2014 17:24,Barcelona,Spain
,,05/23/2014 17:38,Barcelona,Spain
,,05/23/2014 18:38,Barcelona,Spain
,,05/23/2014 19:08,Barcelona,Spain
,,05/23/2014 19:38,Barcelona,Spain
,,05/23/2014 22:52,Barcelona,Spain
,,05/23/2014 23:08,Barcelona,Spain
,,05/23/2014 23:23,Barcelona,Spain
,,05/24/2014 01:37,Barcelona,Spain
,,05/24/2014 03:08,Barcelona,Spain
,,05/24/2014 12:38,Barcelona,Spain
,,05/24/2014 13:38,Barcelona,Spain
,,05/24/2014 13:53,Barcelona,Spain
,,05/24/2014 14:08,Barcelona,Spain
,,05/24/2014 14:23,Barcelona,Spain
,,05/24/2014 14:53,Barcelona,Spain
,,05/24/2014 15:07,Barcelona,Spain
,,05/24/2014 15:38,Barcelona,Spain
,,05/24/2014 15:52,Barcelona,Spain
,,05/24/2014 16:07,Barcelona,Spain
,,05/24/2014 16:37,Barcelona,Spain
,,05/24/2014 17:07,Barcelona,Spain
,,05/24/2014 18:38,Barcelona,Spain
,,05/24/2014 18:52,Barcelona,Spain
,,05/24/2014 19:08,Barcelona,Spain
,,05/24/2014 22:53,Barcelona,Spain
,,05/25/2014 06:37,Barcelona,Spain
,,05/25/2014 09:23,Barcelona,Spain
,,05/25/2014 11:37,Barcelona,Spain
,,05/25/2014 11:53,Barcelona,Spain
,,05/25/2014 12:08,Barcelona,Spain
,,05/25/2014 12:37,Barcelona,Spain
,,05/25/2014 12:53,Barcelona,Spain
,,05/25/2014 13:07,Barcelona,Spain
,,05/25/2014 13:52,Barcelona,Spain
,,05/25/2014 14:07,Barcelona,Spain
,,05/25/2014 14:23,Barcelona,Spain
,,05/25/2014 14:37,Barcelona,Spain
,,05/25/2014 15:07,Barcelona,Spain
,,05/25/2014 15:23,Barcelona,Spain
,,05/25/2014 15:37,Barcelona,Spain
,,05/25/2014 15:53,Barcelona,Spain
,,05/25/2014 16:53,Barcelona,Spain
,,05/25/2014 18:23,Barcelona,Spain
,,05/25/2014 22:53,Barcelona,Spain
,,05/25/2014 23:08,Barcelona,Spain
,,05/26/2014 08:07,Barcelona,Spain
,,05/26/2014 08:23,Barcelona,Spain
,,05/26/2014 09:23,Barcelona,Spain
,,05/26/2014 09:52,Barcelona,Spain
,,05/26/2014 10:08,Barcelona,Spain
,,05/26/2014 10:22,Barcelona,Spain
,,05/26/2014 12:07,Barcelona,Spain
,,05/26/2014 12:22,Barcelona,Spain
,,05/26/2014 12:37,Barcelona,Spain
,,05/26/2014 12:52,Barcelona,Spain
,,05/26/2014 13:08,Barcelona,Spain
,,05/26/2014 13:38,Barcelona,Spain
,,05/26/2014 13:53,Barcelona,Spain
,,05/26/2014 14:08,Barcelona,Spain
,,05/26/2014 14:23,Barcelona,Spain
,,05/26/2014 14:38,Barcelona,Spain
,,05/26/2014 15:03,Barcelona,Spain
,,05/26/2014 16:02,Barcelona,Spain
,,05/26/2014 16:17,Barcelona,Spain
,,05/26/2014 16:37,Barcelona,Spain
,,05/26/2014 16:51,Barcelona,Spain
,,05/26/2014 17:06,Barcelona,Spain
,,05/26/2014 17:51,Barcelona,Spain
,,05/26/2014 18:21,Barcelona,Spain
,,05/26/2014 19:11,Barcelona,Spain
,,05/26/2014 19:25,Barcelona,Spain
,,05/26/2014 22:10,Barcelona,Spain
,,05/27/2014 02:40,Barcelona,Spain
,,05/27/2014 02:55,Barcelona,Spain
,,05/27/2014 03:10,Barcelona,Spain
,,05/27/2014 04:55,Barcelona,Spain
,,05/27/2014 08:25,Barcelona,Spain
,,05/27/2014 09:10,Barcelona,Spain
,,05/27/2014 09:40,Barcelona,Spain
,,05/27/2014 09:55,Barcelona,Spain
,,05/27/2014 10:10,Barcelona,Spain
,,05/27/2014 10:26,Barcelona,Spain
,,05/27/2014 10:40,Barcelona,Spain
,,05/27/2014 12:10,Barcelona,Spain
,,05/27/2014 12:40,Barcelona,Spain
,,05/27/2014 13:10,Barcelona,Spain
