locations,lat,lon,timestamp_s,datetime,altitude
"{'timestampMs': '1450431628326', 'latitudeE7': 123314637, 'longitudeE7': 766493933, 'accuracy': 1299}",12.3314637,76.6493933,1450431628,2015-12-18 09:40:28,
"{'timestampMs': '1450506531744', 'latitudeE7': 114100796, 'longitudeE7': 767112640, 'accuracy': 64, 'activity': [{'timestampMs': '1450506549449', 'activity': [{'type': 'STILL', 'confidence': 92}, {'type': 'IN_VEHICLE', 'confidence': 5}, {'type': 'ON_FOOT', 'confidence': 3}, {'type': 'WALKING', 'confidence': 3}]}, {'timestampMs': '1450506425336', 'activity': [{'type': 'TILTING', 'confidence': 100}]}]}",11.4100796,76.711264,1450506531,2015-12-19 06:28:51,
"{'timestampMs': '1450626766217', 'latitudeE7': 113128324, 'longitudeE7': 769298022, 'accuracy': 1899, 'activity': [{'timestampMs': '1450626766480', 'activity': [{'type': 'TILTING', 'confidence': 100}]}]}",11.3128324,76.9298022,1450626766,2015-12-20 15:52:46,
"{'timestampMs': '1450635997946', 'latitudeE7': 109967595, 'longitudeE7': 769662862, 'accuracy': 1299, 'activity': [{'timestampMs': '1450635974306', 'activity': [{'type': 'TILTING', 'confidence': 100}]}]}",10.9967595,76.9662862,1450635997,2015-12-20 18:26:37,
"{'timestampMs': '1455904865743', 'latitudeE7': 167531222, 'longitudeE7': 802967077, 'accuracy': 2644}",16.7531222,80.2967077,1455904865,2016-02-19 18:01:05,
"{'timestampMs': '1455994701173', 'latitudeE7': 173439107, 'longitudeE7': 785545545, 'accuracy': 56}",17.3439107,78.5545545,1455994701,2016-02-20 18:58:21,
"{'timestampMs': '1510926492000', 'latitudeE7': 174287665, 'longitudeE7': 784175207, 'accuracy': 7, 'velocity': 2, 'heading': 40, 'altitude': 512, 'activity': [{'timestampMs': '1510926499259', 'activity': [{'type': 'ON_FOOT', 'confidence': 55}, {'type': 'WALKING', 'confidence': 55}, {'type': 'UNKNOWN', 'confidence': 18}, {'type': 'STILL', 'confidence': 9}, {'type': 'IN_VEHICLE', 'confidence': 5}, {'type': 'IN_ROAD_VEHICLE', 'confidence': 5}, {'type': 'IN_RAIL_VEHICLE', 'confidence': 5}, {'type': 'ON_BICYCLE', 'confidence': 4}, {'type': 'RUNNING', 'confidence': 4}]}]}",17.4287665,78.4175207,1510926492,2017-11-17 13:48:12,512.0
"{'timestampMs': '1499096816950', 'latitudeE7': 135940737, 'longitudeE7': 800319725, 'accuracy': 196}",13.5940737,80.0319725,1499096816,2017-07-03 15:46:56,
"{'timestampMs': '1499219149335', 'latitudeE7': 92890618, 'longitudeE7': 793153591, 'accuracy': 1735}",9.2890618,79.3153591,1499219149,2017-07-05 01:45:49,
"{'timestampMs': '1499287842572', 'latitudeE7': 116504079, 'longitudeE7': 797392141, 'accuracy': 2306, 'activity': [{'timestampMs': '1499287851283', 'activity': [{'type': 'UNKNOWN', 'confidence': 58}, {'type': 'IN_VEHICLE', 'confidence': 39}, {'type': 'STILL', 'confidence': 4}]}, {'timestampMs': '1499287835686', 'activity': [{'type': 'IN_VEHICLE', 'confidence': 73}, {'type': 'UNKNOWN', 'confidence': 21}, {'type': 'ON_BICYCLE', 'confidence': 4}, {'type': 'ON_FOOT', 'confidence': 2}, {'type': 'WALKING', 'confidence': 2}]}]}",11.6504079,79.7392141,1499287842,2017-07-05 20:50:42,
"{'timestampMs': '1525676435083', 'latitudeE7': 129370904, 'longitudeE7': 801280286, 'accuracy': 800, 'activity': [{'timestampMs': '1525676426827', 'activity': [{'type': 'UNKNOWN', 'confidence': 40}, {'type': 'IN_VEHICLE', 'confidence': 10}, {'type': 'ON_BICYCLE', 'confidence': 10}, {'type': 'ON_FOOT', 'confidence': 10}, {'type': 'STILL', 'confidence': 10}, {'type': 'WALKING', 'confidence': 10}, {'type': 'RUNNING', 'confidence': 10}, {'type': 'IN_ROAD_VEHICLE', 'confidence': 10}, {'type': 'IN_RAIL_VEHICLE', 'confidence': 10}]}, {'timestampMs': '1525676447066', 'activity': [{'type': 'TILTING', 'confidence': 100}]}, {'timestampMs': '1525676467304', 'activity': [{'type': 'UNKNOWN', 'confidence': 31}, {'type': 'STILL', 'confidence': 16}, {'type': 'IN_VEHICLE', 'confidence': 14}, {'type': 'IN_RAIL_VEHICLE', 'confidence': 14}, {'type': 'IN_ROAD_VEHICLE', 'confidence': 13}, {'type': 'ON_FOOT', 'confidence': 11}, {'type': 'WALKING', 'confidence': 11}, {'type': 'ON_BICYCLE', 'confidence': 8}, {'type': 'RUNNING', 'confidence': 8}]}]}",12.9370904,80.1280286,1525676435,2018-05-07 07:00:35,
"{'timestampMs': '1499358572348', 'latitudeE7': 132860688, 'longitudeE7': 802493822, 'accuracy': 2599, 'activity': [{'timestampMs': '1499358563463', 'activity': [{'type': 'IN_VEHICLE', 'confidence': 75}, {'type': 'UNKNOWN', 'confidence': 17}, {'type': 'ON_FOOT', 'confidence': 4}, {'type': 'STILL', 'confidence': 4}, {'type': 'WALKING', 'confidence': 4}]}]}",13.2860688,80.2493822,1499358572,2017-07-06 16:29:32,
"{'timestampMs': '1500026165000', 'latitudeE7': 162296207, 'longitudeE7': 805109028, 'accuracy': 4, 'velocity': 0, 'altitude': -64, 'activity': [{'timestampMs': '1500026157603', 'activity': [{'type': 'UNKNOWN', 'confidence': 50}, {'type': 'STILL', 'confidence': 27}, {'type': 'IN_VEHICLE', 'confidence': 18}, {'type': 'ON_BICYCLE', 'confidence': 6}]}, {'timestampMs': '1500026157493', 'activity': [{'type': 'TILTING', 'confidence': 100}]}]}",16.2296207,80.5109028,1500026165,2017-07-14 09:56:05,-64.0
"{'timestampMs': '1500802328271', 'latitudeE7': 167092120, 'longitudeE7': 810984018, 'accuracy': 2099, 'activity': [{'timestampMs': '1500802956825', 'activity': [{'type': 'IN_VEHICLE', 'confidence': 62}, {'type': 'UNKNOWN', 'confidence': 31}, {'type': 'STILL', 'confidence': 8}]}, {'timestampMs': '1500802896745', 'activity': [{'type': 'IN_VEHICLE', 'confidence': 37}, {'type': 'UNKNOWN', 'confidence': 37}, {'type': 'STILL', 'confidence': 16}, {'type': 'ON_BICYCLE', 'confidence': 12}]}, {'timestampMs': '1500802836652', 'activity': [{'type': 'ON_BICYCLE', 'confidence': 69}, {'type': 'IN_VEHICLE', 'confidence': 31}]}, {'timestampMs': '1500802776666', 'activity': [{'type': 'IN_VEHICLE', 'confidence': 61}, {'type': 'ON_BICYCLE', 'confidence': 36}, {'type': 'ON_FOOT', 'confidence': 3}, {'type': 'RUNNING', 'confidence': 3}]}, {'timestampMs': '1500802716585', 'activity': [{'type': 'ON_BICYCLE', 'confidence': 74}, {'type': 'IN_VEHICLE', 'confidence': 26}]}, {'timestampMs': '1500802626662', 'activity': [{'type': 'IN_VEHICLE', 'confidence': 57}, {'type': 'ON_BICYCLE', 'confidence': 43}]}, {'timestampMs': '1500802566548', 'activity': [{'type': 'ON_BICYCLE', 'confidence': 77}, {'type': 'IN_VEHICLE', 'confidence': 23}]}, {'timestampMs': '1500802506414', 'activity': [{'type': 'ON_BICYCLE', 'confidence': 58}, {'type': 'IN_VEHICLE', 'confidence': 35}, {'type': 'UNKNOWN', 'confidence': 6}, {'type': 'ON_FOOT', 'confidence': 2}, {'type': 'WALKING', 'confidence': 2}]}, {'timestampMs': '1500802502101', 'activity': [{'type': 'ON_BICYCLE', 'confidence': 50}, {'type': 'IN_VEHICLE', 'confidence': 48}, {'type': 'ON_FOOT', 'confidence': 2}, {'type': 'WALKING', 'confidence': 2}]}, {'timestampMs': '1500802501926', 'activity': [{'type': 'TILTING', 'confidence': 100}]}, {'timestampMs': '1500802498041', 'activity': [{'type': 'TILTING', 'confidence': 100}]}, {'timestampMs': '1500802493980', 'activity': [{'type': 'IN_VEHICLE', 'confidence': 100}]}, {'timestampMs': '1500802430396', 'activity': [{'type': 'IN_VEHICLE', 'confidence': 66}, {'type': 'ON_BICYCLE', 'confidence': 29}, {'type': 'ON_FOOT', 'confidence': 4}, {'type': 'RUNNING', 'confidence': 4}, {'type': 'UNKNOWN', 'confidence': 2}]}, {'timestampMs': '1500802403721', 'activity': [{'type': 'IN_VEHICLE', 'confidence': 46}, {'type': 'ON_BICYCLE', 'confidence': 38}, {'type': 'ON_FOOT', 'confidence': 8}, {'type': 'STILL', 'confidence': 8}, {'type': 'WALKING', 'confidence': 8}]}, {'timestampMs': '1500802376871', 'activity': [{'type': 'TILTING', 'confidence': 100}]}]}",16.709212,81.0984018,1500802328,2017-07-23 09:32:08,
